Identifiant	Nom du fichier	Analyse du texte	Notions du programme de philosophie
205	DE_BEAUVOIR_Feminite_I	Titre: La femme n'a jamais eu ses chances. Thèse: L'insignifiance historique a causé l'infériorité des femmes. Résumé: Les femmes, en marge de l'Histoire, sont maintenues dans une situation inférieure par la civilisation patriarcale. Leurs accomplissements sont rares et l'émergence d'un génie est quasi impossible. Elles réclament des droits abstraits et des possibilités concrètes pour que la transcendance l'emporte sur l'immanence.	La liberté, Le temps
206	DE_BEAUVOIR_Feminite_II	Titre: Le mythe de la féminité passive. Thèse: On devient femme, la passivité est un destin imposé. Résumé: On ne naît pas femme, on le devient par la civilisation et l'éducation. La fillette est aussi capable que le garçon, mais sa vocation de passivité lui est insufflée dès l'enfance. Tandis que le garçon s'affirme librement comme sujet, la fille est incitée à se faire objet, renonçant à son autonomie.	La liberté, La nature
207	DE_FUNES_Developpement-(im)personnel_Extraits	Titre: L’imposture et l’aliénation du développement personnel. Thèse: Le développement personnel est une idéologie aliénante et illusoire. Résumé: Julia de Funès critique le développement personnel et le coaching comme des impostures et des leurres intellectuels. Elle dénonce l'idéologie de l'épanouissement, la positivité forcée, et la toute-puissance de la volonté qui masquent une aliénation conformiste et narcissique, opposée à la liberté philosophique.	Le bonheur, La conscience, La liberté, La nature, La raison
208	DE-MONTAIGNE_Race&Origine	Titre: L’origine comme succédané de la race. Thèse: Les notions de « Race » et d'« Origine » essentialisent et classent l'humain. Résumé: L'auteure analyse la mécanique idéologique de la « Race », qui accole des caractéristiques psychologiques à la couleur de peau. Le mot « Origine » est devenu le succédané de « Race », servant à maintenir la distinction entre le légitime (blanc) et l'illégitime (non-blanc) et à assigner chacun à un groupe.	La conscience, La nature, La raison
209	DESCARTES_Cogito-(MM)	Titre: Le cogito dans les Méditations métaphysiques. Thèse: Le simple fait de penser est une vérité nécessairement certaine. Résumé: Descartes, par le doute radical, remet en question l'existence de toute chose (corps, sens, monde, etc.) et même l'action d'un puissant trompeur. Il conclut que l'acte de douter ou de penser établit l'existence certaine et indubitable de celui qui pense : « Je suis, j'existe. ».	La conscience, La vérité
210	DESCARTES_Cogitos	Titre: Trois versions du cogito cartésien. Thèse: Le « Je pense, donc je suis » est le premier principe certain. Résumé: Le texte présente le Cogito dans trois oeuvres de Descartes. Le doute méthodique mène à la certitude que l'acte de penser prouve l'existence du moi. Cela établit l'âme comme substance pensante, distincte et plus facile à connaître que le corps, premier principe de la philosophie.	La conscience, La vérité
211	DESCARTES_DLM5_Hommes&animal	Titre: Descartes: la différence entre les hommes et les bêtes. Thèse: La raison et le langage distinguent radicalement l'homme de l'animal-machine. Résumé: Descartes propose deux tests (langage et action universelle) pour distinguer l'homme de l'animal et de la machine. Les animaux agissent par la seule disposition de leurs organes (mécaniquement), sans raison ni pensée, tandis que l'homme use de la parole pour déclarer ses pensées.	La conscience, La nature
212	DESCARTES_DLMI_Le-bon-sens	Titre: Le bon sens. Thèse: La raison est égale en tous, seule la méthode de pensée diffère. Résumé: Le bon sens, ou la raison, est la chose la mieux partagée, car il est naturellement égal chez tous les hommes. La diversité des opinions vient uniquement du fait que nous conduisons nos pensées par différentes voies et que nous n'appliquons pas bien notre esprit.	La raison, La vérité
213	DESCARTES_Langage&Homme	Titre: Le langage est le propre de l'homme. Thèse: La parole est l'unique preuve de la pensée et de l'âme humaine. Résumé: Descartes définit la parole comme l'usage de signes faits à propos des sujets sans rapport à une passion. Il soutient que seul l'homme peut l'utiliser pour exprimer ses pensées. Les cris des animaux ou les paroles des perroquets ne sont que des mouvements mécaniques liés aux passions, prouvant leur absence de pensée.	La conscience, La raison
214	DESCARTES_Liberté&Morale	Titre: Le libre arbitre comme fondement de l'imputabilité. Thèse: Le libre arbitre est la principale perfection humaine, le rendant digne de louange ou de blâme. Résumé: Pour Descartes, la liberté de la volonté est le plus grand avantage de l'homme, le rendant maître de ses actions. C'est elle qui fonde l'imputabilité morale : l'homme mérite la louange ou le blâme, contrairement à une machine qui agit par contrainte mécanique.	La conscience, La raison
215	DESCARTES_Liberté&Volonté	Titre: L'expérience du libre arbitre. Thèse: L'expérience même de notre volonté prouve sa liberté absolue. Résumé: Descartes affirme que la liberté de notre volonté est une notion commune, connue par la simple expérience que nous en avons. Même en doutant de tout et en supposant un trompeur, nous apercevons une liberté totale de donner ou de refuser notre consentement.	La conscience, La liberté
216	DESCARTES_MM_I&II	Titre: La vérité première du le « Je suis, j’existe ». Thèse: Le « Je suis, j'existe » est la première vérité certaine par l'entendement seul. Résumé: Descartes s'engage dans le doute radical, remettant en question les sens, le sommeil et même un Dieu trompeur. Il découvre le Cogito ("Je suis, j'existe") comme première vérité certaine. L'examen du morceau de cire démontre que le corps n'est connu que par l'entendement (l'esprit), qui est plus facile à connaître que le corps.	La conscience, L'inconscient, La raison, La vérité
217	DIDEROT_Expérimentation&richesse	Titre: L'expérimentation comme source de richesse. Thèse: L'expérimentation est la vraie richesse, la raison est préjugée. Résumé: Les faits sont la richesse du philosophe. La philosophie rationnelle lie les faits, mais l'expérimentale en recueille de nouveaux en tâtonnant. L'expérience, bien que lente, surpasse la raison qui prononce et s'arrête. Les théories rationnelles s'écroulent devant de nouveaux faits expérimentaux.	La raison, La science
218	DUCROS_1-Penser-le-sport	Titre: L'impossibilité de penser le Sport comme totalité unifiée. Thèse: Le sport ne peut être pensé par une définition générale. Résumé: Penser le sport doit se faire par l'analyse des gestes particuliers. Il est impossible de donner un discours global ou une définition totalisante. L'attention aux différences, comme entre le pilote automobile et le footballeur, révèle l'irréductibilité de chaque pratique.	Le travail
219	DUCROS_2-Athlétisme	Titre: Citius, altius, fortius. Thèse: Le geste athlétique est une kinésis par essence imparfaite. Résumé: Les gestes d'athlétisme (course, saut, lancer) sont des mouvements élémentaires, des formes d'existence. Ils relèvent de la kinésis (action visant une fin extérieure), s'opposant à l'energeia (fin immanente). Le paradoxe est de viser la perfection de ce geste, par essence inachevé.	Le travail
220	DUCROS_3-Smash&Prise-Choc	Titre: Le smash: entre prise et choc. Thèse: Le toucher se divise en caresse, choc et prise. Résumé: Le contact de la main avec les objets se décline en caresse (présence, durée), choc (rejet, annulation de présence) et prise (intégration, annulation de vide). Le smash au volley-ball est une gifle, c'est-à-dire un choc de la main ouverte, transition entre caresse et choc.	L'art
221	DURAS_Écrire	Titre: Marguerite Duras : « Écrire ». Thèse: Écrire naît de la solitude totale et de l'inconnu. Résumé: L'écriture exige une solitude inviolable, qui peut basculer dans la déraison ou la folie. C'est une force sauvage, nécessitant la force du corps. Écrire, c'est tenter de savoir ce qu'on écrirait; un livre terminé est uniforme et a rejoint l'innocence.	L'art, La conscience, L'inconscient, La liberté
222	DURKHEIM_Bonheur&Plaisir	Titre: Le bonheur favorise la capacité à éprouver du plaisir. Thèse: Le bonheur est un état général et constant, le plaisir une crise. Résumé: Le bonheur est un état général et constant lié à la santé de la vie physique et morale dans son ensemble. Le plaisir est une crise momentanée, limitée et locale, bien qu'il soit un élément du bonheur. Le plus souvent, c'est le bonheur qui détermine l'aptitude à ressentir le plaisir.	Le bonheur
223	DURKHEIM_Crime&Normal&Société	Titre: Le crime est un phénomène normal. Thèse: Le crime est normal et utile à l'évolution sociale. Résumé: Le crime est un phénomène normal car il existe dans toutes les sociétés, et son taux n'a fait qu'augmenter. Il est un facteur de santé publique. Une société sans crime est impossible; la répression des fautes mineures deviendrait alors le crime. Il prépare l'évolution de la morale et du droit.	La conscience, La liberté
224	DURKHEIM_Morale&société	Titre: La conscience morale comme voix de la société. Thèse: La conscience morale est l'oeuvre de la société. Résumé: La voix intérieure du devoir est ressentie comme supérieure à l'individu. Après avoir dépouillé les formes mythiques, cette réalité s'avère être la société. C'est elle qui, en nous formant moralement, a mis en nous les sentiments qui dictent impérativement notre conduite.	La conscience, La religion
225	ECCLESIASTE_Vanités	Titre: Vanité des vanités. Thèse: Tout est vanité, l'homme ne trouve aucun profit. Résumé: Qohélet affirme que tout est vanité, l'homme ne trouvant aucun profit à ses peines sous le soleil. Il décrit la circularité des phénomènes naturels (temps, vent, fleuves) et la lassitude des sens. Il n'y a rien de nouveau et ce qui fut sera, sans cesse.	Le langage, La nature, Le temps, Le travail
226	EINSTEIN_Mécanisme&monde	Titre: Le mécanisme interne du monde. Thèse: Les concepts physiques sont des créations libres de l'esprit. Résumé: Les concepts physiques sont des créations libres et non uniquement déterminées par l'extérieur. L'homme qui tente de comprendre le monde ressemble à celui qui essaie de comprendre une montre fermée, ne pouvant jamais être sûr d'avoir le mécanisme réel. Le chercheur tend vers une vérité objective simplifiée.	La raison, La science
227	ELLUL_Technique&sacrilege&sacré	Titre: Technique et sacré. Thèse: La technique, autonome et désacralisante, devient un nouveau sacré. Résumé: La technique est autonome, désacralisante et refuse toute norme extérieure. Elle réduit tout à un moyen, faisant disparaître le mystère. Incapable de vivre sans sacré, l'homme reporte son adoration et sa peur sur la technique elle-même, qui devient le mystère essentiel.	La conscience, La religion, La science
228	EN.UNIV._ENCINAS_Théorie&source-droit	Titre: La théorie des sources du droit (article). Thèse: La théorie agence la pluralité des sources du droit. Résumé: La théorie des sources du droit s'interroge sur l'origine et la formation des règles juridiques (loi, coutume, jurisprudence, etc.). Face à la pluralité des foyers normatifs, elle vise à expliciter les processus d'élaboration des règles et à les ordonner de manière cohérente et souvent hiérarchisée.	La justice, La raison
229	EN.UNIV._GOYARD-FABRE_Jusnaturalisme	Titre: Jusnaturalisme, droit (article). Thèse: Le jusnaturalisme moderne fonde le droit sur la raison humaine. Résumé: Le jusnaturalisme est une doctrine moderne qui fonde le droit naturel non plus sur l'ordre cosmique ou divin (comme chez Grotius), mais sur la nature humaine et la seule raison. Il pose l'individu comme sujet de droit, ouvrant la voie à l'individualisme juridique et aux droits-libertés.	L'État, La justice, La liberté, La nature
230	EN.UNIV._TAP-Pierre_Adolescence	Titre: La difficulté de savoir qui on est à l'adolescence. Thèse: L'identité est une quête continuelle et nécessaire. Résumé: L'adolescence est une crise d'identité due aux mutations pubertaires et aux progrès de l'intelligence. L'identité n'est pas un état mais une quête incessante ("identisation"), se saisissant dans la crise et se maintenant par l'action, nécessitant de nouvelles identifications.	La liberté, Le temps
231	ENCYCLOPÉDIE_Attention	Titre: L'« attention ». Thèse: L'attention est l'opération de l'âme qui vise à la connaissance distincte. Résumé: L'attention est une opération de l'âme qui se concentre sur une partie d'un objet pour en avoir une idée plus distincte, comme un microscope. Pour la soutenir, il faut écarter les troubles des sens, de l'imagination et des passions. Elle se perfectionne par l'exercice répété.	La conscience, La vérité
232	ENGELS_État&domination	Titre: L'État est l'instrument de domination de la classe dominante. Thèse: L'État est l'instrument de domination de la classe la plus puissante. Résumé: L'État naît du besoin de contrôler les oppositions de classes. C'est l'instrument de la classe économiquement dominante, qui devient politiquement dominante pour mater et exploiter la classe opprimée (par exemple, État antique pour les propriétaires d'esclaves, État moderne pour le capital).	L'État, L'inconscient, Le travail
233	ÉPICURE_Justice&Utilité	Titre: Le rapport entre la justice et l'utilité. Thèse: Le juste selon la nature est le contrat mutuel d'utilité. Résumé: Le juste est le contrat mutuel d'utilité pour éviter de subir et de faire du tort. La justice n'est pas absolue ("en soi"), mais une convention utile à la communauté. Elle varie selon les pays et les conditions, et ce qui a été juste cesse de l'être si son utilité disparaît.	La justice, La nature
234	ÉPICURE_Lettre-à-Ménécée	Titre: La Lettre à Ménécée. Thèse: La philosophie assure la santé de l'âme par la recherche du plaisir. Résumé: Il faut philosopher à tout âge pour assurer la santé de l'âme et atteindre le bonheur. La mort n'est rien car elle est privation de sensation. Le plaisir (absence de souffrance dans le corps et de trouble dans l'âme) est le principe et la fin de la vie bienheureuse, guidé par la prudence.	Le bonheur, La nature, La raison, La religion
235	ÉPICURE_Mort	Titre: La mort n'est rien pour nous. Thèse: La mort n'est rien pour nous, étant privation de sensation. Résumé: Le bien et le mal sont dans la sensation, or la mort est privation de sensation. Le plus grand des maux, la mort, n'est rien pour nous car « quand nous sommes, la mort n'est pas présente ; et que, quand la mort est présente, alors nous ne sommes pas. » La conscience, Le bonheur, La nature, Le temps.	La technique
236	ÉPICURE_Philosophie&bonheur	Titre: Philosophie et bonheur. Thèse: Il faut philosopher à tout âge pour assurer le bonheur. Résumé: Il n'est ni trop tôt ni trop tard pour philosopher, car il s'agit d'assurer la santé de l'âme. Jeunes et vieux doivent activement s'y consacrer : les premiers pour affronter l'avenir sans crainte, les seconds pour rester jeunes par la gratitude du passé. La philosophie produit le bonheur.	Le bonheur, Le temps
237	EPICURE_Trois-types-de-désir	Titre: Les trois types de désir. Thèse: Distinguer les désirs pour atteindre le bonheur et la sérénité. Résumé: Épicure classe les désirs en naturels/nécessaires, naturels seulement, et sans fondement. Le but est d'atteindre la santé du corps et l'absence de trouble de l'âme (ataraxie) en satisfaisant les désirs nécessaires à la vie, au bien-être et au bonheur.	Le bonheur
238	FAYE-Gaël_Différence	Titre: Génocide des Tutsi: l'absolutisation de la différence. Thèse: La différence ethnique est arbitraire, mais elle est absolutisée. Résumé: Un enfant tente de comprendre la guerre Hutu/Tutsi. Les deux groupes ont le même pays, la même langue et le même dieu, mais se font la guerre à cause de différences physiques arbitraires (nez, taille). Le doute sur la notion d'ethnie grandit.	La raison, La vérité
239	FERRY_Illettrisme	Titre: La progression de l'illettrisme en France: argumentaire. Thèse: L'illettrisme est la difficulté principale de l'enseignement français. Résumé: L'illettrisme en France est massif, touchant 35 à 40% des jeunes. Deux enquêtes factuelles révèlent une baisse alarmante du niveau en maîtrise de la langue et en calcul par rapport aux années 1920, ce qui est la cause principale de l'échec scolaire.	La science, La vérité
240	FERRY_Liberté&principe-méthodologique	Titre: La liberté comme principe méthodologique indéfiniment applicable. Thèse: Le déterminisme est un postulat métaphysique, non une science. Résumé: Le déterminisme, comme la thèse que « toutes les actions sont égoïstes », est infalsifiable et donc non scientifique. Il doit être maintenu comme principe méthodologique, tandis que la liberté est un postulat éthique indémontrable mais nécessaire.	La liberté, La science
241	FERRY_MP_La naissance des dieux et du monde  D’après la Théogonie d’Hésiode	Titre: La naissance des dieux et du monde. Thèse: Les mythes fondateurs grecs dévoilent des vérités philosophiques profondes. Résumé: Ce texte utilise le mythe de la Théogonie d'Hésiode pour explorer la naissance des dieux et du monde. Via un dialogue entre Zeus et Rhéa, il vise à tirer des enseignements philosophiques profonds de ces récits fondateurs, notamment sur la quête de liberté et de vérité de Zeus.	La liberté, La nature, La vérité
242	FERRY_MP_Prométhée et la boîte de Pandore  La naissance de l’humanité	Titre: Prométhée et la boîte de Pandore. Thèse: Le mythe de Prométhée éclaire la naissance et les caractéristiques humaines. Résumé: Le texte introduit le mythe de Prométhée pour expliquer la création de l'humanité. Il s'interroge sur la place des mortels dans un univers divin, soulignant comment cette création apporte mouvement et désordre. L'auteur s'appuie sur diverses sources antiques pour raconter cette genèse philosophique.	La justice, La nature, La raison
243	FERRY_Sept-écologies	Titre: Les sept visages de l'écologie politique contemporaine. Thèse: L'écologie politique se divise en sept courants principaux. Résumé: Le texte décrit sept courants écologiques : effondrisme, alarmisme réformiste (développement durable), alarmisme révolutionnaire (décroissance), écoféminisme, décolonialisme, véganisme, et écomodernisme (économie circulaire/croissance infinie sans pollution).	L'État, La justice, La nature, Le travail
244	FILLIOZAT_Éducation&Limites	Titre: Poser des limites. Thèse: L'éducation passe par des consignes et des réparations, non des punitions. Résumé: Punitions et fessées sont inefficaces et nuisibles (honte, stress, peur), n'enseignant que la peur du parent. Il faut préférer les consignes, l'accueil des émotions (colère) et les conséquences logiques ou réparatrices pour responsabiliser l'enfant et mobiliser son intelligence.	La conscience, La liberté
245	FOUCAULT_Prison&Discipline	Titre: La prison comme appareil disciplinaire exhaustif. Thèse: La prison est un appareil disciplinaire omni disciplinaire et despotique. Résumé: La prison, en tant qu'appareil disciplinaire, prend en charge tous les aspects de l'individu, de son physique à sa conduite morale. Elle exerce une contrainte ininterrompue et un pouvoir presque total (despotique) sur le détenu, visant à imposer une nouvelle forme d'individu.	La conscience, L'État
246	FRAISSE_Rythme_Intro	Titre: Le rythme. Thèse: Le rythme est l'ordre du mouvement humain, issu de sa perception. Résumé: L'étymologie du mot rythme (rhuthmós, de rhéô, couler) désignait chez les Ioniens la « forme improvisée ». Platon l'a redéfini comme « l'ordre dans le mouvement », en le réduisant aux mouvements du corps humain, coïncidant avec les limites de la perception.	La conscience, Le temps
247	FRAISSE_Rythme_Intro_C	Titre: Le rythme comme coïncidence harmonieuse du mouvement et de sa perception. Thèse: Le rythme tire sa résonance de la coïncidence perception/action. Résumé: Le rythme humain est original par la coïncidence entre la fréquence des mouvements et les limites de la perception. Cette harmonie entre ce qui est perçu et ce qui est agi serait la cause de sa résonance affective. La répétition de l'identique (cadence) se distingue du rythme (répétition de l'analogue).	La conscience, Le temps
248	FRAISSE_Synchronisation&sensori-motrice	Titre: L’anticipation dans la synchronisation sensori-motrice. Thèse: La synchronisation sensori motrice repose sur l'anticipation du son. Résumé: Contrairement à la réaction, la synchronisation (comme battre le pied en musique) n'est pas postérieure au stimulus mais est anticipée. Elle est rendue possible par la prévision du moment du son. On observe une légère anticipation de la frappe par rapport au son, le repère tactile et kinesthésique étant privilégié.	La conscience, Le temps, Le travail
249	FRANKFURT_Bullshit	Titre: Le mensonge et le bullshit (baratin). Thèse: Le baratin ignore la vérité, le mensonge la nécessite. Résumé: Le menteur est préoccupé par la vérité qu'il cherche à altérer précisément. Le baratineur, ou "roi des déconneurs," dispose d'une plus grande liberté, car il ne se soucie pas de la véracité de ses déclarations, son objectif étant de dissimuler son indifférence aux faits.	La conscience, La vérité
250	FREUD&SARTRE_Inconscient	Titre: Freud: Les trois blessures narcissiques. Thèse: La psychanalyse inflige à l'humanité la troisième blessure narcissique. Résumé: Freud considère la psychanalyse comme la troisième blessure narcissique de l'humanité, après celles de Copernic (place de la Terre) et de Darwin (descendance animale), en révélant que le moi n'est pas maître dans sa propre maison à cause de l'inconscient. Sartre, cependant, rejette l'idée d'inconscient en affirmant que la censure (qui refoule) doit être consciente pour opérer.	La conscience, L'inconscient, La vérité
251	FREUD(Claire Pagès)_Psychanalyse&patient&activité	Titre: Activité du patient dans la psychanalyse. Thèse: Le patient est acteur de l'analyse, la solution est en lui. Résumé: La psychanalyse requiert l'activité du patient, qui est l'acteur de sa propre cure et le seul à posséder le matériau (ses souvenirs). Le patient développe des résistances à la reconnaissance du refoulé, et l'analyste doit trouver le moment opportun pour interpréter.	La conscience, L'inconscient, Le travail
252	FREUD_Homme&Agressivité	Titre: L'agressivité irréductible de l'homme. Thèse: L'agression, pulsion irréductible, menace la société et exige la culture. Résumé: L'homme possède un puissant penchant à l'agression. Cette hostilité primaire menace constamment la société. La culture doit poser des barrières à cette pulsion en encourageant l'identification et l'amour du prochain (contraire à la nature humaine originelle), tout en s'arrogeant la violence contre les criminels.	La nature, Le travail
253	FREUD_Interpretation&reves	Titre: La réalisation du désir dans le rêve. Thèse: Le rêve, même négatif en apparence, est un désir réalisé. Résumé: Freud illustre sa théorie selon laquelle le rêve est la réalisation d'un désir, même quand son contenu manifeste semble l'infirmer. Le rêve de la malade, qui ne peut donner de dîner, accomplit son désir inconscient d'empêcher son amie de grossir pour plaire à son mari.	La conscience, L'inconscient, Le travail
254	FREUD_Nature&Civilisation	Titre: Nature et civilisation. Thèse: La civilisation protège l'homme des menaces de la nature. Résumé: La civilisation a pour rôle principal de protéger l'homme contre les dangers de la nature (catastrophes naturelles, maladies, mort) et de lui permettre de vivre en commun.	La nature
255	FROIDEVEAUX-METTERIE_Féminisme	Titre: La persistance historique de la domination masculine. Thèse: La domination masculine persistante nie la liberté et l'égalité des femmes. Résumé: Ce texte dénonce la permanence historique de la domination masculine, confinant les femmes à leurs fonctions corporelles et domestiques. Même la démocratie moderne a perpétué ce système patriarcal, excluant les femmes des idéaux de liberté et d'égalité, les maintenant dans une condition d'objectivation et d'aliénation.	Le devoir, L'État, La justice, La liberté, La nature
256	GALLUZZO-Anthony_Génie&Mythe&Entrepreneur	Titre: La construction du mythe de l'entrepreneur héroïque. Thèse: Le mythe du génie entrepreneurial masque l'analyse sociale et rationnelle. Résumé: Le texte déconstruit le mythe de l'entrepreneur "génie", créateur visionnaire et intuitif, le sortant de toute causalité. Cette rhétorique, une "antisociologie", masque les explications sociales et rationnelles de son succès.	Le travail
257	GARCIA_1_Situation	Titre: La spécificité du concept de situation chez Simone de Beauvoir. Thèse: La "situation" beauvoirienne dépasse l'essentialisme et le nominalisme. Résumé: Le concept de situation de Beauvoir, différent de celui de Sartre, permet de comprendre la féminité comme un produit social sans nier les données biologiques. Il décrit l'infériorité des femmes comme un donné historique (être devenu) et non naturel, ouvrant la voie à l'émancipation par la liberté.	La liberté, La nature, Le travail
258	GARCIA_2_Sens-vie	Titre: Sexisme, soumission et sens de la vie. Thèse: La soumission amoureuse décharge la femme et crée un pouvoir. Résumé: La soumission amoureuse d'une femme induit une dépendance totale, mais lui octroie un pouvoir sur l'homme, celui d'être à la hauteur de son sacrifice. Elle se décharge sur l'homme du fardeau de trouver un sens à sa vie.	La liberté, Le travail
259	GARCIA_3_Liberté&Soumission	Titre: La démission de la liberté et l'acceptation de la soumission. Thèse: La situation sociale des femmes complexifie le combat pour la liberté. Résumé: S'appuyant sur l'existentialisme de Beauvoir, le texte montre que la tentation de la soumission est plus forte pour les femmes en raison des structures sociales (situation). Contrairement à l'enfant ou à l'exclu, la femme occidentale choisit ou consent à cette soumission, car l'ordre patriarcal rend la liberté plus coûteuse qu'elle ne l'est pour les hommes.	La conscience, La liberté, La nature, Le travail
260	GARCIA_Féminisme&Introduction	Titre: Féminisme et philosophie féministe. Thèse: La philosophie féministe analyse le genre et dénonce l'ordre patriarcal. Résumé: Le féminisme, dont la philosophie féministe est un champ apparu au XXe siècle, se caractérise par une réflexion sur le genre (social) distinct du sexe (biologique). Son projet est descriptif et normatif : mettre en évidence l'ordre social patriarcal et déconstruire le sexisme pour dénoncer cette injustice et proposer des conceptions non sexistes du monde.	La raison, La vérité
261	GIDE_DESCARTES_Liberté&Libre-arbitre	Titre: La liberté comme absence de motif ou indifférence au choix. Thèse: La liberté se définit par l'absence de motif ou l'indifférence au choix. Résumé: Gide, à travers Lafcadio, explore l'idée d'un acte gratuit commis sans motif ou raison. Descartes, en revanche, considère l'indifférence comme le plus bas degré de la liberté. Il affirme que la vraie liberté est d'agir d'autant plus librement que l'on connaît clairement le vrai ou le bien, tout en ayant le pouvoir de choisir le contraire.	La conscience, La liberté, La raison
262	GIRARD_Bouc-émissaire	Titre: Le bouc émissaire. Thèse: La désignation d'une victime préserve la communauté de sa violence. Résumé: Pour éviter de se détruire sous l'effet de sa violence interne, toute société humaine dispose d'un moyen spontané : la convergence mimétique de la communauté contre une victime unique, le bouc émissaire. Toutes les haines se déchargent sur cette victime, ce qui permet à la communauté de se rétablir sans s'autodétruire.	La conscience, L'inconscient
263	GIRARD_Désir-mimétique	Titre: Le désir mimétique. Thèse: Le désir humain est essentiellement une imitation du désir d'autrui. Résumé: Le désir, essentiellement mimétique, comporte un troisième terme, le rival ou modèle, qui désigne l'objet comme désirable. L'homme ne sait pas exactement ce qu'il désire après ses besoins primodiaux ; il désire l'être dont l'autre est pourvu. Cette convergence de désirs sur le même objet mène inéluctablement au conflit.	La conscience, L'inconscient, La vérité
264	GIRARD_Rivalité-mimétique	Titre: La rivalité mimétique. Thèse: L'imitation du désir mène inévitablement à la rivalité et au conflit. Résumé: L'imitation désirante (mimétisme) domine nos gestes et choix fondamentaux. Quand un modèle proche désire un objet à notre portée, nous essayons de le lui enlever, ce qui engendre la rivalité mimétique. Cette rivalité est responsable de la violence et de l'intensité des conflits humains, et elle s'efforce de se dissimuler.	La conscience, L'inconscient, La vérité
265	GODIN-Christian_Enc._Sport	Titre: Le sport. Thèse: Le sport moderne, héritier de la Grèce, est une lutte et une sublimation. Résumé: Le sport est réapparu au XVIIIe siècle après avoir été oublié depuis la Grèce antique. Il est une lutte contre soi-même, les autres, et la nature. Il est autotélique, basé sur la compétition (agôn), et recherche l'excellence (arètè). C'est une guerre sublimée et une synthèse de jeu et de travail, traversée par des antinomies (corps/esprit, plaisir/douleur).	L'art, La nature, Le temps, Le travail
266	GRACIAN_Homme-de-cours_Extraits	Titre: L’homme de cour. Thèse: Le courtisan doit maîtriser ses passions et cultiver l'excellence et la prudence. Résumé: L'homme de cour doit atteindre la perfection en maîtrisant ses passions pour ne jamais s'emporter. Il doit cultiver son fond plutôt que l'apparence, car les gens de discernement démasquent l'homme superficiel. La prudence exige de ne pas exagérer, de ne pas se prodiguer et de savoir refuser avec courtoisie.	La conscience, Le temps
267	GRACIAN_Homme-de-cours_Extraits_Court	Titre: L’homme de cour (version courte). Thèse: Le courtisan doit maîtriser ses passions et cultiver l'excellence et la prudence. Résumé: L'homme de cour doit atteindre la perfection en maîtrisant ses passions pour ne jamais s'emporter. Il doit cultiver son fond plutôt que l'apparence, car les gens de discernement démasquent l'homme superficiel. La prudence exige de ne pas exagérer, de ne pas se prodiguer et de savoir refuser avec courtoisie.	La conscience, Le temps
268	GRIMALDI_Allégresse	Titre: L'allégresse. Thèse: L'allégresse est une joie intense, spontanée et communautaire, distincte de la liesse. Résumé: L'allégresse est une joie intense caractérisée par une surabondance de vitalité et une légèreté surnaturelle. Elle dilate le temps vers un avenir prometteur (temporalité de l'imminence). Spontanément entraînante, elle fait pressentir une communauté idyllique de partage. Elle est distincte de la liesse, qui n'est qu'une ivresse de l'instant.	Le bonheur, Le temps
269	GRIMALDI_Humanité	Titre: La technique, la religion et l'art comme signes d'humanité. Thèse: Technique, religion et art sont les marques de l'humanité. Résumé: L'appartenance à l'espèce humaine se reconnaît non seulement par des critères anatomiques (station droite, volume encéphalique), mais surtout par la présence de la technique, de la religion et de l'art. Ces trois traits témoignent de l'avènement de l'esprit, se manifestant par la capacité d'abstraction et de médiation.	L'art, La conscience, La religion, La technique
270	GRIMALDI_L'Attention	Titre: L'attention. Thèse: L'attention est un effort volontaire isolant l'objet pour penser. Résumé: L'attention est une tension volontaire de la conscience qui s'isole du monde et se refuse à la distraction pour se concentrer sur son objet. Contrairement à l'imagination, elle est un effort nécessaire pour découvrir la réalité, dont la complexité et la consistance exigent une observation soutenue, s'apparentant à une ascèse spirituelle.	La conscience, La liberté
271	GRIMALDI_MA_1_Amour&paradoxe	Titre: Paradoxe de l'amour: épreuve de la nécessité du contingent. Thèse: L'amour rend nécessaire ce qui est issu du pur hasard. Résumé: L'amour naît du pur hasard d'une rencontre, mais l'amant l'imagine nécessaire en le mythifiant comme une prédestination. Il projette ses attentes sur l'être aimé, qu'il ne connaît pas, et que l'autre aime parce qu'il est ravi d'être vu et reconnu tel qu'il aimerait être. L'amour devient une valeur absolue.	La conscience, La vérité
272	GRIMALDI_MA_2_Amour&enigme	Titre: L'énigme de l'amour. Thèse: L'amour est une force énigmatique résistant à tout et inexplicable. Résumé: L'amour se manifeste sous des formes paradoxales et extrêmes, allant de la violence et l'humiliation acceptées, à la dévotion secrète, à la jalousie possessive, ou à la vénération religieuse. Il peut être une fulguration instantanée, ou le résultat d'une douce accoutumance. Il est une convulsion qui résiste à tout, même aux plus tenaces résistances.	La conscience, L'inconscient
273	GRIMALDI_MA_3_Amour&Connaissance	Titre: Aimer l'autre sans pouvoir jamais le connaître vraiment. Thèse: L'amour porte sur les qualités d'une personne et non son moi. Résumé: Reprenant un fragment de Pascal, le texte affirme que l'on n'aime jamais la personne elle-même, mais seulement les qualités qui la caractérisent et la rendent aimable. Ces qualités sont externes au moi véritable, si intérieur et secret qu'il est inconnaissable par autrui. On aime ce que l'on paraît, non ce que l'on est.	La conscience, La vérité
